R	0	Verify Formal AI supports recursive binary task decomposition from atomic leaves through the complete 32-leaf level.	all_children_pass	1	2
1	1	Complete recursive decomposition node 1, covering atomic tasks L01–L16; both child nodes must produce independently checkable evidence.	all_children_pass	1.1	1.2
1.1	2	Complete recursive decomposition node 1.1, covering atomic tasks L01–L08; both child nodes must produce independently checkable evidence.	all_children_pass	1.1.1	1.1.2
1.1.1	3	Complete recursive decomposition node 1.1.1, covering atomic tasks L01–L04; both child nodes must produce independently checkable evidence.	all_children_pass	1.1.1.1	1.1.1.2
1.1.1.1	4	Complete recursive decomposition node 1.1.1.1, covering atomic tasks L01–L02; both child nodes must produce independently checkable evidence.	all_children_pass	1.1.1.1.1	1.1.1.1.2
1.1.1.1.1	5	Atomic task L01: Inspect the existing task-decomposition data model and identify where a node stores its children.	observable evidence exists		
1.1.1.1.2	5	Atomic task L02: Inspect the existing task-decomposition recursion and record how depth limits are represented.	observable evidence exists		
1.1.1.2	4	Complete recursive decomposition node 1.1.1.2, covering atomic tasks L03–L04; both child nodes must produce independently checkable evidence.	all_children_pass	1.1.1.2.1	1.1.1.2.2
1.1.1.2.1	5	Atomic task L03: Inspect the existing atomicity check and record the observable completion contract for leaves.	observable evidence exists		
1.1.1.2.2	5	Atomic task L04: Inspect the existing Links Notation rendering and record how child relationships are serialized.	observable evidence exists		
1.1.2	3	Complete recursive decomposition node 1.1.2, covering atomic tasks L05–L08; both child nodes must produce independently checkable evidence.	all_children_pass	1.1.2.1	1.1.2.2
1.1.2.1	4	Complete recursive decomposition node 1.1.2.1, covering atomic tasks L05–L06; both child nodes must produce independently checkable evidence.	all_children_pass	1.1.2.1.1	1.1.2.1.2
1.1.2.1.1	5	Atomic task L05: Inspect the existing recursive execution adapter and record how a decomposition tree is executed.	observable evidence exists		
1.1.2.1.2	5	Atomic task L06: Inspect the existing task-strategy ledger and record how approved decomposition strategies are selected.	observable evidence exists		
1.1.2.2	4	Complete recursive decomposition node 1.1.2.2, covering atomic tasks L07–L08; both child nodes must produce independently checkable evidence.	all_children_pass	1.1.2.2.1	1.1.2.2.2
1.1.2.2.1	5	Atomic task L07: Write a minimal example of a two-child task decomposition with independently checkable leaves.	observable evidence exists		
1.1.2.2.2	5	Atomic task L08: Verify that a leaf without an observable completion contract is never treated as independently checkable.	observable evidence exists		
1.2	2	Complete recursive decomposition node 1.2, covering atomic tasks L09–L16; both child nodes must produce independently checkable evidence.	all_children_pass	1.2.1	1.2.2
1.2.1	3	Complete recursive decomposition node 1.2.1, covering atomic tasks L09–L12; both child nodes must produce independently checkable evidence.	all_children_pass	1.2.1.1	1.2.1.2
