hi	greeting	response:greeting	Hi, how may I help you?
hello	greeting	response:greeting	Hi, how may I help you?
hey	greeting	response:greeting	Hi, how may I help you?
good morning	greeting	response:greeting	Hi, how may I help you?
good evening	greeting	response:greeting	Hi, how may I help you?
hi there	greeting	response:greeting	Hi, how may I help you?
hello there	greeting	response:greeting	Hi, how may I help you?
howdy	greeting	response:greeting	Hi, how may I help you?
greetings	greeting	response:greeting	Hi, how may I help you?
how are you?	wellbeing	response:wellbeing	I'm doing great, thanks for asking! I'm ready to help — what would you like to do?
how are you doing?	wellbeing	response:wellbeing	I'm doing great, thanks for asking! I'm ready to help — what would you like to do?
how do you do?	wellbeing	response:wellbeing	I'm doing great, thanks for asking! I'm ready to help — what would you like to do?
how are things?	wellbeing	response:wellbeing	I'm doing great, thanks for asking! I'm ready to help — what would you like to do?
how's it going?	wellbeing	response:wellbeing	I'm doing great, thanks for asking! I'm ready to help — what would you like to do?
bye	farewell	response:farewell	Goodbye! Feel free to return any time.
goodbye	farewell	response:farewell	Goodbye! Feel free to return any time.
ciao	farewell	response:farewell	Goodbye! Feel free to return any time.
see you	farewell	response:farewell	Goodbye! Feel free to return any time.
see you later	farewell	response:farewell	Goodbye! Feel free to return any time.
take care	farewell	response:farewell	Goodbye! Feel free to return any time.
so long	farewell	response:farewell	Goodbye! Feel free to return any time.
farewell	farewell	response:farewell	Goodbye! Feel free to return any time.
thanks	courtesy_response	response:courtesy_response	Glad to hear it. What would you like to do next?
thank you	courtesy_response	response:courtesy_response	Glad to hear it. What would you like to do next?
i am fine thank you	courtesy_response	response:courtesy_response	Glad to hear it. What would you like to do next?
fine thanks	courtesy_response	response:courtesy_response	Glad to hear it. What would you like to do next?
good thanks	courtesy_response	response:courtesy_response	Glad to hear it. What would you like to do next?
doing well thanks	courtesy_response	response:courtesy_response	Glad to hear it. What would you like to do next?
who are you?	identity	response:identity	I am formal-ai, a deterministic symbolic AI implementation that answers from local Links Notation rules and OpenAI-compatible API shapes. I do not perform neural inference in this demo.
what are you?	identity	response:identity	I am formal-ai, a deterministic symbolic AI implementation that answers from local Links Notation rules and OpenAI-compatible API shapes. I do not perform neural inference in this demo.
tell me about yourself	identity	response:identity	I am formal-ai, a deterministic symbolic AI implementation that answers from local Links Notation rules and OpenAI-compatible API shapes. I do not perform neural inference in this demo.
introduce yourself	identity	response:identity	I am formal-ai, a deterministic symbolic AI implementation that answers from local Links Notation rules and OpenAI-compatible API shapes. I do not perform neural inference in this demo.
let's get acquainted	identity	response:identity	I am formal-ai, a deterministic symbolic AI implementation that answers from local Links Notation rules and OpenAI-compatible API shapes. I do not perform neural inference in this demo.
what is formal-ai?	identity	response:identity	I am formal-ai, a deterministic symbolic AI implementation that answers from local Links Notation rules and OpenAI-compatible API shapes. I do not perform neural inference in this demo.
what can you do?	capabilities	response:capabilities	I am formal-ai, a deterministic symbolic AI. Here is what I can do: ⏎  ⏎ - **Greetings**: respond to «Hi», «Hello», and similar. ⏎ - **Hello World**: generate programs in Rust, Python, JavaScript, Go, C, and more. ⏎ - **Web search**: search the internet through DuckDuckGo, Wikipedia, and Wikidata when available. ⏎ - **Concept lookup**: explain terms — try «What is Wikipedia?» ⏎ - **Arithmetic**: evaluate expressions — try «What is 2 + 2?» ⏎ - **Translation**: translate phrases between languages. ⏎ - **Memory**: recall context within the current session. ⏎ - **Behavior rules**: send `List behavior rules` to see the built-in routing rules, and `Show behavior rule unknown` to read one in Links Notation. ⏎ - **Teach this dialog**: send «When I say `your prompt`, answer `your answer`» to add a dialog-local rule for the current conversation. ⏎ - **Self facts**: send `List all facts you know about yourself` to see what I know about myself. ⏎ - **Report a missing rule**: use the top-bar **Report issue** button; unknown-prompt message links include the diagnostic trace for maintainers. ⏎ - **Settings and actions**: configure diagnostics, demo mode, agent mode, theme, language, chat style, and memory import/export from messages. ⏎  ⏎ I run on local symbolic rules, without any neural network inference.
what you can do?	capabilities	response:capabilities	I am formal-ai, a deterministic symbolic AI. Here is what I can do: ⏎  ⏎ - **Greetings**: respond to «Hi», «Hello», and similar. ⏎ - **Hello World**: generate programs in Rust, Python, JavaScript, Go, C, and more. ⏎ - **Web search**: search the internet through DuckDuckGo, Wikipedia, and Wikidata when available. ⏎ - **Concept lookup**: explain terms — try «What is Wikipedia?» ⏎ - **Arithmetic**: evaluate expressions — try «What is 2 + 2?» ⏎ - **Translation**: translate phrases between languages. ⏎ - **Memory**: recall context within the current session. ⏎ - **Behavior rules**: send `List behavior rules` to see the built-in routing rules, and `Show behavior rule unknown` to read one in Links Notation. ⏎ - **Teach this dialog**: send «When I say `your prompt`, answer `your answer`» to add a dialog-local rule for the current conversation. ⏎ - **Self facts**: send `List all facts you know about yourself` to see what I know about myself. ⏎ - **Report a missing rule**: use the top-bar **Report issue** button; unknown-prompt message links include the diagnostic trace for maintainers. ⏎ - **Settings and actions**: configure diagnostics, demo mode, agent mode, theme, language, chat style, and memory import/export from messages. ⏎  ⏎ I run on local symbolic rules, without any neural network inference.
