node	verdict
1.1.1.1.1	ok
1.1.1.1.2	ok
1.1.1.2.1	hollow_reported_failure
1.1.1.2.2	ok
1.1.2.1.1	ok
1.1.2.1.2	ok
1.1.2.2.1	ok
1.1.2.2.2	ok
1.2.1.1.1	ok
1.2.1.1.2	ok
1.2.1.2.1	hollow_reported_failure
1.2.1.2.2	hollow_reported_failure
1.2.2.1.1	hollow_reported_failure
1.2.2.1.2	hollow_reported_failure
1.2.2.2.1	hollow_reported_failure
1.2.2.2.2	ok
2.1.1.1.1	ok
2.1.1.1.2	ok
2.1.1.2.1	ok
2.1.1.2.2	ok
2.1.2.1.1	ok
2.1.2.1.2	hollow_reported_failure
2.1.2.2.1	ok
2.1.2.2.2	hollow_reported_failure
2.2.1.1.1	ok
2.2.1.1.2	ok
2.2.1.2.1	ok
2.2.1.2.2	ok
2.2.2.1.1	ok
2.2.2.1.2	ok
2.2.2.2.1	ok
2.2.2.2.2	ok
